Район,Улица,Станция метро,"Время до метро, мин.",Количество комнат,"Общая площадь, м.кв.","Жилая площадь, м.кв.",Цена,Год постройки,Тип дома,Этаж,Количество этажей в доме,"Площадь кухни, м.кв.",Количество санузлов,Тип ремонта,Количество подъездов в доме
Бескудниковский, Селигерская ул.,Селигерская,3,2,38.4,24.0,10150000,1969,-,1,14,6.2,1,Косметический,1
Свиблово, ул. Амундсена,Свиблово,1,2,46.3,30.3,15490000,1970,Блочный,10,14,9.0,1,Евроремонт,1
Пресненский, Гранатный пер.,Баррикадная,11,3,149.0,63.0,150000000,1978,Кирпичный,4,9,31.0,2,Дизайнерский,1
Кунцево, № 100 квартал,Строгино,12,1,33.5,9.8,11950000,2022,-,21,25,16.8,1,Евроремонт,-
Тверской, Оружейный пер.,Маяковская,7,3,68.0,46.0,32000000,1941,Кирпичный,9,9,15.0,1,Евроремонт,4
Раменки, Ломоносовский просп.,Ломоносовский проспект,4,3,70.5,47.0,26590000,1960,Кирпичный,3,8,7.5,1,Евроремонт,3
Северное, ул. Грина,Бульвар Дмитрия Донского,14,1,42.0,20.0,12200000,2005,Панельный,24,24,11.0,1,Дизайнерский,2
Раменки, просп. Генерала Дорохова,Минская,5,3,102.2,29.0,130000000,-,Монолитный,9,12,39.6,2,Дизайнерский,-
Мещанский, ул. Сретенка,Сретенский бульвар,5,3,87.7,-,84600000,2004,Монолитный,3,3,20.0,2,Дизайнерский,3
Лефортово, Красноказарменная ул.,Авиамоторная,10,1,36.0,21.0,16590000,2018,-,3,23,10.0,-,Евроремонт,8
Хамовники, ул. Усачева,Спортивная,7,2,113.91,57.0,118850000,2021,Монолитный,11,12,20.0,3,Без ремонта,4
Замоскворечье, Климентовский пер.,Новокузнецкая,3,3,146.0,81.0,106500000,2005,Блочный,4,12,19.0,1,Косметический,4
Хамовники, пер. Сивцев Вражек,Смоленская,7,3,91.8,57.0,63800000,1964,Кирпичный,2,8,10.0,1,Евроремонт,1
Нагатинский, просп. Андропова,Технопарк,5,2,73.7,33.6,35000000,2023,-,14,24,21.4,2,Без ремонта,-
Щукино, Щукинская ул.,Щукинская,11,1,48.4,15.8,22800000,2023,-,5,21,15.5,1,Без ремонта,-
Бибирево, ул. Плещеева,Бибирево,12,3,65.0,41.0,28000000,1976,Панельный,12,16,8.6,1,Дизайнерский,1
Раменки, Мосфильмовская ул.,Ломоносовский проспект,4,3,160.8,80.0,194800000,2012,Монолитный,47,54,20.0,1,Дизайнерский,4
Хамовники, ул. Усачева,Спортивная,6,3,118.71,70.2,126890000,2022,Монолитный,3,11,18.0,3,Без ремонта,4
Даниловский, Дубининская ул.,Павелецкая,20,2,66.1,38.0,45500000,2023,-,15,46,15.0,1,Дизайнерский,5
Дорогомилово, Кутузовский просп.,Кутузовская,5,3,74.4,-,27500000,1937,Кирпичный,1,8,6.0,1,Без ремонта,18
Пресненский, ул. Костикова,Улица 1905 года,9,1,65.0,42.0,67000000,2023,-,10,21,5.0,1,Дизайнерский,-
Раменки, Мичуринский просп.,Раменки,10,3,77.0,60.0,52000000,2020,Монолитный,24,50,15.0,-,Дизайнерский,3
Останкинский, ул. Годовикова,Алексеевская,19,3,71.0,-,29950000,2023,Монолитный,26,35,6.0,2,Без ремонта,9
Покровское-Стрешнево, Алиа жилой комплекс,Спартак,8,2,67.0,26.4,30490000,-,Монолитный,22,26,17.0,2,Без ремонта,-
Хорошево-Мневники, ул. Народного Ополчения,Народное Ополчение,10,3,82.3,-,49900000,2022,Монолитный,20,57,28.0,2,Дизайнерский,1
Хамовники, пер. Хилков,Парк Культуры,5,3,158.6,-,290000000,2008,Монолитный,3,6,15.0,2,Дизайнерский,2
Пресненский, Хлебный пер.,Арбатская,11,3,125.0,85.0,250000000,1924,-,2,4,20.0,1,Без ремонта,1
Хорошево-Мневники, Шелепихинская наб.,Шелепиха,11,2,71.0,36.0,45000000,-,Монолитный,8,36,19.0,-,Дизайнерский,-
Ломоносовский, Нахимовский просп.,Профсоюзная,11,3,96.9,59.0,59900000,2017,-,17,21,17.0,2,Евроремонт,3
Раменки, Мосфильмовская ул.,Аминьевская,7,2,59.7,33.0,25000000,2021,-,35,37,18.0,2,Без ремонта,-
Левобережный, Ленинградское ш.,Беломорская,3,1,44.0,32.0,22500000,-,Монолитный,11,20,7.0,1,Дизайнерский,-
Люблино, ул. Верхние Поля,Братиславская,12,1,35.3,-,8977500,1980,-,9,9,-,1,-,2
Люблино, ул. Верхние Поля,Братиславская,12,1,36.1,-,9120000,1980,-,4,9,-,1,Косметический,2
Филевский, Багратионовский проезд,Фили,5,2,61.6,-,27990000,2021,Монолитный,22,42,-,2,Без ремонта,11
Люблино, ул. Верхние Поля,Братиславская,12,1,37.0,-,9215000,1980,-,8,9,-,1,Косметический,2
Теплый, Ленинский просп.,Тропарёво,3,3,76.1,-,34000000,2002,Панельный,3,17,10.0,1,Без ремонта,9
Алексеевский, Маломосковская ул.,ВДНХ,14,3,106.0,-,74890000,2019,Монолитный,21,22,-,2,Дизайнерский,18
Люблино, ул. Верхние Поля,Братиславская,12,1,36.1,-,9120000,1980,-,5,9,-,1,Косметический,2
Замоскворечье, Мытная ул.,Серпуховская,10,1,62.0,20.0,63000000,2012,-,3,14,20.0,-,Дизайнерский,21
Северное, ул. Грина,Бульвар Дмитрия Донского,14,1,42.0,20.0,12200000,2005,Панельный,24,24,11.0,1,Дизайнерский,2
Люблино, ул. Верхние Поля,Братиславская,12,1,36.0,-,9120000,1980,-,4,9,-,1,Косметический,2
Люблино, ул. Верхние Поля,Братиславская,12,1,35.9,-,9072500,1980,-,9,9,-,1,-,2
Южное, Окружная ул.,Трикотажная,19,1,39.9,19.0,11700000,1948,Монолитный,4,4,7.5,1,Косметический,3
Люблино, ул. Верхние Поля,Братиславская,12,1,36.5,-,9215000,1980,-,9,9,-,1,-,2
Люблино, ул. Верхние Поля,Братиславская,12,1,36.9,-,9215000,1980,-,7,9,-,1,Косметический,2
Хорошево-Мневники, 3-я Хорошевская ул.,Народное Ополчение,18,3,93.9,48.0,33500000,2023,Монолитный,16,22,16.0,2,Без ремонта,8
Замоскворечье, Большая Татарская ул.,Новокузнецкая,3,3,150.0,-,148000000,2011,Кирпичный,8,10,-,-,Без ремонта,12
Люблино, ул. Верхние Поля,Братиславская,12,1,36.3,-,9215000,1980,-,7,9,-,1,-,2
Можайский, Можайское ш.,Кунцевская,12,3,80.0,55.0,35500000,2009,Монолитно-кирпичный,2,23,4.0,2,Дизайнерский,3
Беговой, Ленинградский просп.,Динамо,7,2,82.0,-,70000000,2018,-,12,18,-,2,Дизайнерский,11
Замоскворечье, ул. Малая Ордынка,Третьяковская,1,3,88.0,48.0,67499000,1912,Кирпичный,2,5,8.0,1,Дизайнерский,1
Таганский, Котельническая наб.,Таганская,11,3,95.5,-,125000000,1953,Кирпичный,5,32,10.0,2,Дизайнерский,4
Пресненский, Большая Грузинская ул.,Баррикадная,9,3,149.9,-,130000000,1998,-,4,13,-,3,Дизайнерский,1
Очаково-Матвеевское, Нежинская ул.,Киевская,10,3,103.0,-,49700000,2005,Монолитный,3,25,-,2,Дизайнерский,1
Таганский, ул. Земляной Вал,Чкаловская,9,3,101.1,-,50500000,1954,-,9,10,10.0,2,Дизайнерский,2
Якиманка, ул. Малая Полянка,Полянка,3,2,135.4,-,145000000,2007,Кирпичный,3,9,-,-,Дизайнерский,5
Хамовники, пер. Хилков,Парк Культуры,6,3,162.9,98.0,385000000,2009,Кирпичный,4,8,17.0,3,Дизайнерский,7
Хорошево-Мневники, Шелепихинская наб.,Шелепиха,16,3,68.0,34.0,44950000,2022,-,39,43,20.0,-,Дизайнерский,1
Мещанский, ул. Советской Армии,Достоевская,9,3,83.0,59.0,98000000,2013,Блочный,9,14,8.0,2,Евроремонт,2
Хорошево-Мневники, Шелепихинская наб.,Шелепиха,16,3,64.2,27.2,41500000,2022,-,9,43,18.0,2,Дизайнерский,1
Раменки, Университетский просп.,Ломоносовский проспект,13,3,128.6,-,70000000,2007,-,5,15,-,1,Дизайнерский,3
Аэропорт, 2-й Амбулаторный проезд,Красный Балтиец,2,3,55.5,44.0,16150000,1962,Кирпичный,2,5,6.0,1,Косметический,2
Пресненский, ул. Костикова,Улица 1905 года,9,3,87.6,58.0,91000000,2023,-,7,21,22.0,2,Евроремонт,-
Хорошево-Мневники, Шелепихинская наб.,Шелепиха,16,3,68.0,34.0,44950000,2022,-,39,43,20.0,-,Дизайнерский,1
Пресненский, ул. Костикова,Улица 1905 года,9,3,87.6,58.0,91000000,2023,-,7,21,22.0,2,Евроремонт,-
Пресненский, Большая Бронная ул.,Пушкинская,8,2,65.0,44.0,91823900,-,Кирпичный,3,9,15.0,1,Евроремонт,-
Раменки, Университетский просп.,Ломоносовский проспект,13,3,128.6,-,70000000,2007,-,5,15,-,1,Дизайнерский,3
Мещанский, ул. Советской Армии,Достоевская,9,3,83.0,59.0,98000000,2013,Блочный,9,14,8.0,2,Евроремонт,2
Пресненский, ул. Костикова,Улица 1905 года,9,3,97.0,67.0,110000000,2023,-,9,21,-,2,Дизайнерский,-
Хорошево-Мневники, Шелепихинская наб.,Шелепиха,16,2,46.0,30.0,30490000,2022,-,30,43,10.0,-,Дизайнерский,1
Хамовники, ул. Льва Толстого,Парк Культуры,12,2,94.0,60.0,130000000,-,Монолитно-кирпичный,6,8,15.0,2,Дизайнерский,-
Пресненский, Большая Грузинская ул.,Баррикадная,9,3,150.0,103.0,130000000,1998,-,3,13,16.0,2,Евроремонт,1
Красносельский, Милютинский пер.,Тургеневская,4,3,68.3,48.2,48490000,1914,Кирпичный,3,8,5.7,1,Евроремонт,4
Якиманка, ул. Малая Полянка,Полянка,3,2,135.4,-,145000000,2007,Кирпичный,3,9,-,-,Дизайнерский,5
Тверской, ул. Фадеева,Новослободская,8,3,172.5,95.0,225000000,2013,Монолитно-кирпичный,3,10,24.0,2,Дизайнерский,9
Ростокино, просп. Мира,Улица Сергея Эйзенштейна,18,3,95.7,55.7,36300000,2015,Монолитный,7,38,35.0,1,Без ремонта,3
Раменки, Мосфильмовская ул.,Ломоносовский проспект,4,3,191.5,-,229559750,2012,Монолитный,29,53,15.0,3,Дизайнерский,4
Хамовники, пер. Хилков,Парк Культуры,6,3,162.9,98.0,385000000,2009,Кирпичный,4,8,17.0,3,Дизайнерский,7
поселок, Эдальго микрорайон,Коммунарка,7,1,33.9,20.2,8250000,2012,Монолитный,20,25,6.0,1,Косметический,1
Чертаново, Кировоградская ул.,Южная,7,2,56.8,32.4,19290000,1987,-,3,17,10.3,1,Евроремонт,8
Нагорный, Варшавское ш.,Варшавская,9,1,61.5,24.6,19500000,2007,-,9,23,17.2,1,Косметический,1
Раменки, Мичуринский просп.,Раменки,3,2,57.8,36.6,25990000,2000,Панельный,12,17,8.0,1,Евроремонт,6
Хорошево-Мневники, ул. Народного Ополчения,Народное Ополчение,9,1,42.4,15.0,19900000,2022,Монолитный,18,48,15.4,-,Без ремонта,1
Марфино, ул. Академика Комарова,Улица Милашенкова,13,3,77.0,45.0,27990000,2010,Панельный,11,22,10.0,1,Евроремонт,2
Хорошевский, Чапаевский пер.,Аэропорт,10,3,115.0,60.0,67970000,2006,Монолитно-кирпичный,3,57,5.0,2,Дизайнерский,13
Лефортово, ш. Энтузиастов,Площадь Ильича,8,2,79.7,30.0,30000000,2019,Монолитный,6,11,13.0,2,Без ремонта,6
Очаково-Матвеевское, Аминьевское ш.,Аминьевская,8,3,55.4,43.4,33490000,2022,Монолитный,7,9,7.0,1,Дизайнерский,4
Пресненский, 2-я Черногрязская ул.,Улица 1905 года,15,3,120.0,80.0,165000000,2017,Кирпичный,2,13,16.0,2,Дизайнерский,4
Раменки, ул. Лобачевского,Аминьевская,5,2,72.5,29.6,35000000,2021,-,18,25,21.8,2,Без ремонта,-
Раменки, просп. Генерала Дорохова,Минская,5,3,68.7,35.5,38500000,-,Монолитный,3,14,11.5,1,Без ремонта,-
Арбат, Новинский бул.,Баррикадная,8,3,140.0,-,85000000,1952,Кирпичный,7,7,-,3,Дизайнерский,6
Даниловский, просп. Лихачева,Технопарк,14,3,91.0,50.0,49500000,2022,-,9,9,15.0,1,Дизайнерский,8
Дорогомилово, пл. Победы,Парк Победы,5,3,130.1,97.0,95000000,2003,Монолитно-кирпичный,10,12,20.0,2,Евроремонт,1
Хорошево-Мневники, Шелепихинская наб.,Шелепиха,11,3,72.0,38.0,45600000,2020,Монолитный,8,36,16.0,2,Дизайнерский,-
Тверской, ул. Малая Дмитровка,Маяковская,7,2,156.0,-,79990000,1904,Кирпичный,4,6,15.8,2,Дизайнерский,2
Очаково-Матвеевское, Аминьевское ш.,Аминьевская,8,3,55.4,43.4,33490000,2022,Монолитный,7,9,7.0,1,Дизайнерский,4
Дорогомилово, Дохтуровский пер.,Студенческая,8,3,152.5,-,100000000,2007,Монолитный,6,18,15.0,3,Дизайнерский,1
Тверской, 1-я Миусская ул.,Менделеевская,7,3,108.0,70.0,51840000,1917,-,2,7,10.0,1,Евроремонт,1
Мещанский, Рождественский бул.,Трубная,5,3,140.0,-,227576030,1903,Кирпичный,2,5,-,2,Дизайнерский,4
Пресненский, Большая Бронная ул.,Пушкинская,8,3,75.0,55.0,57000000,1965,Кирпичный,2,9,12.0,1,Евроремонт,1
Якиманка, 1-й Спасоналивковский пер.,Полянка,5,3,130.0,-,128629930,2007,Кирпичный,4,9,-,2,Дизайнерский,1
Филевский, Береговой проезд,Фили,3,3,82.4,46.9,40000000,2020,Кирпичный,11,13,11.7,1,Евроремонт,10
Филевский, Багратионовский проезд,Фили,4,3,100.0,-,82000000,2021,Монолитный,42,42,13.0,2,Дизайнерский,11
Замоскворечье, Мытная ул.,Серпуховская,10,3,120.0,-,118300000,2012,-,4,17,-,3,Дизайнерский,21
Аэропорт, Часовая ул.,Сокол,8,3,128.0,-,60000000,2008,-,22,23,-,2,Дизайнерский,3
Перово, 1-я Владимирская ул.,Перово,4,1,39.3,18.1,11900000,1984,Кирпичный,12,14,11.6,1,Без ремонта,1
Замоскворечье, ул. Малая Ордынка,Третьяковская,1,3,88.0,48.0,67500000,1912,Кирпичный,2,5,8.0,1,Дизайнерский,1
Хорошевский, Хорошевское ш.,Полежаевская,5,3,70.0,31.0,51000000,2023,Монолитный,23,24,20.0,1,Дизайнерский,9
Аэропорт, Кочновский проезд,Аэропорт,15,3,97.4,64.4,37900000,2008,Монолитный,7,34,10.0,2,Евроремонт,9
Пресненский, ул. Костикова,Улица 1905 года,9,3,120.0,-,102000000,2023,-,4,21,15.0,2,Дизайнерский,-
Хамовники, 2-я Фрунзенская ул.,Фрунзенская,6,3,146.0,85.0,175000000,2003,-,10,14,18.0,2,Евроремонт,2
Хорошевский, Чапаевский пер.,Аэропорт,10,3,116.5,65.0,74980000,2006,Монолитно-кирпичный,18,57,15.0,2,Дизайнерский,13
Раменки, Мичуринский просп.,Раменки,12,3,76.0,-,59000000,2020,Монолитный,15,51,-,2,Дизайнерский,3
Хорошево-Мневники, Шелепихинская наб.,Шелепиха,11,2,58.0,29.0,39300000,2020,Монолитный,24,24,12.0,-,Дизайнерский,-
Перово, 1-я Владимирская ул.,Перово,14,1,30.0,15.0,9900000,1963,Кирпичный,5,5,6.0,1,Косметический,3
Хорошевский, Чапаевский пер.,Аэропорт,10,3,158.0,-,202012580,2006,Монолитно-кирпичный,9,57,25.0,2,Дизайнерский,13
Якиманка, Большой Толмачевский пер.,Третьяковская,4,2,89.3,-,188240000,-,-,2,8,21.0,2,Без ремонта,-
Хорошево-Мневники, Шелепихинская наб.,Шелепиха,12,2,52.0,20.0,29200000,-,Монолитно-кирпичный,5,19,17.5,1,Дизайнерский,-
Хорошево-Мневники, ул. Народного Ополчения,Народное Ополчение,9,1,42.4,15.0,19900000,2022,Монолитный,18,48,15.4,-,Без ремонта,1
Замоскворечье, ул. Малая Ордынка,Третьяковская,1,3,129.3,-,110000000,1997,-,5,8,50.0,2,Дизайнерский,1
Кунцево, ул. Академика Павлова,Крылатское,10,3,69.0,35.0,27900000,2024,-,32,33,20.0,2,Косметический,-
Раменки, просп. Генерала Дорохова,Минская,5,3,92.1,-,96705000,2021,Монолитный,8,13,-,2,Дизайнерский,1
Тверской, Дегтярный пер.,Пушкинская,6,3,188.5,-,175000000,1917,Кирпичный,3,4,-,3,Дизайнерский,1
Таганский, ул. Большие Каменщики,Таганская,4,1,49.0,21.0,22100000,1984,Кирпичный,11,13,10.0,1,Косметический,1
Лефортово, ш. Энтузиастов,Площадь Ильича,8,2,79.7,30.0,30000000,2019,Монолитный,6,11,13.0,2,Без ремонта,6
Хорошевский, Ленинградский просп.,Аэропорт,13,3,91.2,55.0,80000000,2022,-,7,41,30.0,2,Без ремонта,1
Тверской, 1-й Колобовский пер.,Трубная,5,3,138.0,118.0,135000000,2005,Монолитно-кирпичный,4,6,15.0,1,Дизайнерский,2
Нагорный, Варшавское ш.,Варшавская,9,1,61.5,24.6,19500000,2007,-,9,23,17.2,1,Косметический,1
Арбат, Большой Афанасьевский пер.,Арбатская,7,3,117.7,-,185000000,2012,-,4,8,-,2,Дизайнерский,4
Куркино, Воротынская ул.,Сходненская,9,3,82.0,60.0,26500000,2001,Панельный,10,12,7.0,1,Евроремонт,1
Пресненский, Хлыновский туп.,Арбатская,10,3,115.0,-,173000000,2007,-,3,7,-,1,Дизайнерский,2
Можайский, проезд Загорского,Давыдково,14,3,164.0,-,150000000,1999,-,7,7,15.0,2,Дизайнерский,4
Басманный, ул. Фридриха Энгельса,Бауманская,9,2,75.0,35.0,31500000,2000,-,9,10,17.2,1,Евроремонт,5
Красносельский, Милютинский пер.,Лубянка,4,3,133.8,-,150000000,1898,Кирпичный,4,8,-,2,Дизайнерский,3
Замоскворечье, ул. Малая Ордынка,Третьяковская,1,3,88.0,-,67500000,1912,Кирпичный,2,5,-,1,Дизайнерский,1
Пресненский, Шелепихинское ш.,Шелепиха,5,2,38.7,23.7,17690000,1971,Блочный,12,12,6.1,1,Евроремонт,2
Раменки, ул. Лобачевского,Аминьевская,5,2,72.5,29.6,35000000,2021,-,18,25,21.8,2,Без ремонта,-
Замоскворечье, Климентовский пер.,Новокузнецкая,3,3,146.0,81.0,106500000,2005,Блочный,4,12,18.0,2,Евроремонт,4
Хамовники, 2-я Фрунзенская ул.,Фрунзенская,6,3,180.0,70.0,183647800,2003,-,2,15,11.4,2,Дизайнерский,2
Замоскворечье, Климентовский пер.,Новокузнецкая,3,3,136.1,-,106500000,2005,Блочный,4,12,10.0,2,Дизайнерский,4
Арбат, Новинский бул.,Баррикадная,8,3,132.1,-,85000000,1952,Кирпичный,7,7,-,3,Дизайнерский,6
Раменки, Мичуринский просп.,Раменки,10,2,78.0,32.0,45800000,2020,Монолитный,36,53,22.0,2,Дизайнерский,3
Пресненский, Малый Кисловский пер.,Арбатская,6,3,94.0,57.0,153000000,1920,Монолитный,2,7,8.0,2,Дизайнерский,1
Хамовники, Бутиковский пер.,Парк Культуры,10,3,150.0,105.0,339748430,2003,-,2,6,15.0,2,Дизайнерский,6
Пресненский, Мантулинская ул.,Деловой центр,16,2,67.0,31.0,72500000,2020,Монолитный,16,20,12.0,1,Дизайнерский,5
Пресненский, Большой Козихинский пер.,Пушкинская,9,3,90.0,66.0,80000000,1933,Кирпичный,2,7,15.0,2,Евроремонт,2
Хамовники, Ружейный пер.,Смоленская,10,3,122.6,-,120000000,2008,Монолитный,6,16,-,2,Дизайнерский,9
Кунцево, ул. Академика Павлова,Крылатское,10,3,69.0,35.0,27900000,2024,-,32,33,20.0,2,Косметический,-
Хорошевский, Чапаевский пер.,Аэропорт,10,3,115.0,60.0,67970000,2006,Монолитно-кирпичный,3,57,5.0,2,Дизайнерский,13
Раменки, просп. Генерала Дорохова,Минская,5,3,72.0,50.0,38000000,-,-,3,14,10.0,1,Косметический,-
Хорошево-Мневники, Шелепихинская наб.,Шелепиха,12,2,52.0,20.0,29200000,-,Монолитно-кирпичный,5,19,17.5,1,Дизайнерский,-
Хорошево-Мневники, ул. Народного Ополчения,Народное Ополчение,9,2,106.1,29.7,67500000,2022,Монолитный,49,58,54.0,1,Дизайнерский,1
Хорошевский, Чапаевский пер.,Аэропорт,10,3,116.5,65.0,74980000,2006,Монолитно-кирпичный,18,57,15.0,2,Дизайнерский,13
Пресненский, ул. Сергея Макеева,Улица 1905 года,12,1,43.6,14.0,37000000,2017,Кирпичный,4,13,16.8,1,Без ремонта,2
Пресненский, Мантулинская ул.,Деловой центр,16,2,67.0,31.0,72500000,2020,Монолитный,16,20,12.0,1,Дизайнерский,5
Можайский, ул. Вересаева,Давыдково,8,3,152.0,90.0,51500000,1999,Монолитный,4,17,20.0,2,Дизайнерский,1
Раменки, Ломоносовский просп.,Ломоносовский проспект,2,3,136.2,-,105000000,2008,Монолитный,13,15,25.0,2,-,5
Хамовники, ул. Усачева,Спортивная,8,2,97.25,51.0,126490000,2022,Монолитный,9,15,12.9,2,Без ремонта,4
поселение, ул. Харлампиева,Филатов Луг,13,2,57.0,-,10400000,2020,Монолитный,6,12,10.5,1,Евроремонт,2
Матушкино, Зеленоград,Зеленоград — Крюково,6,1,27.6,14.8,6950000,1972,Панельный,7,12,6.6,1,Без ремонта,8
Басманный, Чистопрудный бул.,Чистые пруды,6,2,65.0,40.0,37000000,1931,-,2,8,13.0,1,Евроремонт,11
Гольяново, Красноярская ул.,Щёлковская,5,2,54.6,-,12300000,1980,Панельный,3,16,-,1,Косметический,10
поселение, ул. Жемчужная,Филатов Луг,12,1,31.0,-,8160000,2021,-,2,6,-,1,Дизайнерский,4
Южнопортовый, ул. Трофимова,Кожуховская,10,2,78.7,-,20990000,1959,Кирпичный,7,7,20.0,1,Дизайнерский,3
Головинский, Онежская ул.,Моссельмаш,17,2,40.0,24.0,13300000,1966,Блочный,4,9,7.0,1,Дизайнерский,1
поселок, Эдальго микрорайон,Коммунарка,7,1,33.9,20.2,8250000,2012,Монолитный,20,25,6.0,1,Косметический,1
Восточное, Дубнинская ул.,Дегунино,3,1,33.1,19.0,9990000,1971,Панельный,5,9,6.8,1,Евроремонт,10
Ярославский, ул. Красная Сосна,ВДНХ,6,3,63.0,33.0,24200000,2021,Монолитный,22,22,8.0,2,Дизайнерский,6
Перово, 1-я Владимирская ул.,Перово,14,1,30.0,15.0,9900000,1963,Кирпичный,5,5,6.0,1,Косметический,3
Хорошево-Мневники, Шелепихинская наб.,Шелепиха,12,3,115.0,68.5,35500000,-,Монолитно-кирпичный,1,19,-,2,Косметический,-
Новогиреево, Мартеновская ул.,Новогиреево,10,2,46.7,31.5,12190000,1958,Кирпичный,3,5,5.6,1,Евроремонт,3
Пресненский, Краснопресненская наб.,Москва-Сити,7,3,118.7,-,142440000,2023,Панельный,30,66,10.0,2,Без ремонта,-
Тверской, 1-я Тверская-Ямская ул.,Маяковская,4,3,78.1,-,68867925,1952,-,5,6,7.0,2,Дизайнерский,1
Даниловский, ул. Архитектора Щусева,ЗИЛ,13,2,64.3,41.1,29200000,2022,Кирпичный,6,16,18.2,1,-,12
Дорогомилово, Студенческая ул.,Студенческая,10,3,109.8,-,119371070,2008,Кирпичный,7,15,16.1,2,Без ремонта,3
Хамовники, 1-й Зачатьевский пер.,Кропоткинская,10,3,186.0,-,186000000,2005,Монолитно-кирпичный,2,7,16.0,2,Без ремонта,1
Гагаринский, Ленинский просп.,Ленинский проспект,14,2,50.0,32.0,37000000,-,-,4,8,13.0,2,Дизайнерский,-
Якиманка, Большой Толмачевский пер.,Полянка,6,2,74.3,49.3,140000000,-,Монолитный,3,8,20.0,2,Без ремонта,-
Хамовники, пер. Коробейников,Парк Культуры,7,3,154.2,97.0,293836480,2006,Монолитный,3,7,9.0,2,Без ремонта,9
Хорошево-Мневники, Шелепихинская наб.,Хорошёвская,5,1,36.6,15.0,21800000,2023,-,7,30,10.0,1,Евроремонт,-
Пресненский, Большой Гнездниковский пер.,Пушкинская,4,3,145.0,-,167000000,2008,-,4,6,20.0,2,Дизайнерский,4
Хамовники, ул. Остоженка,Кропоткинская,6,3,179.0,-,246547172,2012,Монолитно-кирпичный,4,6,15.0,2,Без ремонта,5
Хорошевский, Ленинградский просп.,Аэропорт,12,1,41.5,23.4,31000000,2021,Монолитный,13,41,4.9,1,-,1
Хамовники, ул. Усачева,Спортивная,6,2,97.9,49.0,130000000,2022,Монолитный,10,12,21.0,2,Без ремонта,4
Якиманка, Большой Толмачевский пер.,Полянка,6,3,124.7,70.0,250000000,-,Монолитный,3,14,32.0,2,Без ремонта,-
Хорошевский, Ленинградский просп.,ЦСКА,11,1,45.5,19.1,34500000,2021,Монолитный,3,40,6.3,1,-,1
Хамовники, ул. Усачева,Спортивная,6,3,106.3,79.0,135000000,2022,Монолитный,8,8,-,2,Без ремонта,4
Тверской, 4-я Тверская-Ямская ул.,Маяковская,6,3,169.5,-,161000000,2003,-,14,17,20.0,3,Дизайнерский,1
Хорошевский, Ленинградский просп.,ЦСКА,11,1,41.5,23.4,32000000,2021,Монолитный,9,40,4.9,1,-,1
Хамовники, ул. Усачева,Фрунзенская,12,3,138.6,-,231396228,2008,Монолитно-кирпичный,8,11,11.9,2,Дизайнерский,10
Дорогомилово, Студенческая ул.,Студенческая,10,3,105.3,-,135366794,2008,Кирпичный,7,15,16.0,2,Без ремонта,3
Раменки, ул. Янковского,Аминьевская,17,2,71.0,48.6,30600000,2022,-,4,25,5.3,1,Без ремонта,-
Пресненский, ул. Костикова,Улица 1905 года,9,3,112.7,-,132000000,2023,-,6,21,15.0,3,Дизайнерский,-
Хамовники, ул. Усачева,Спортивная,8,2,97.25,51.0,126490000,2022,Монолитный,9,15,12.9,2,Без ремонта,4
Хорошевский, ул. Зорге,Полежаевская,17,1,44.0,-,20200000,2022,-,2,27,-,-,Без ремонта,3
Очаково-Матвеевское, Нежинская ул.,Давыдково,5,2,53.0,30.0,32000000,-,Монолитный,18,22,17.0,1,Без ремонта,-
Хорошевский, Ленинградский просп.,ЦСКА,11,1,41.1,23.4,31500000,2021,Монолитный,16,40,4.9,1,-,1
Котловка, Севастопольский просп.,Нагорная,20,3,70.0,45.0,31770000,-,-,5,38,13.0,1,Без ремонта,-
Хорошевский, Ленинградский просп.,Аэропорт,13,1,41.5,23.3,34000000,2021,-,8,41,4.9,1,-,1
Аэропорт, Кочновский проезд,Аэропорт,15,3,97.4,64.4,37900000,2008,Монолитный,7,34,10.0,2,Евроремонт,9
Дорогомилово, Кутузовский просп.,Киевская,13,2,65.0,43.0,39000000,1957,-,4,11,10.0,1,Евроремонт,6
Гагаринский, Ленинский просп.,Университет,11,3,80.0,53.0,39990000,1956,Кирпичный,7,8,8.2,1,Без ремонта,18
Хамовники, Фрунзенская наб.,Фрунзенская,13,2,85.0,60.0,40500000,1958,Кирпичный,2,14,12.0,1,Евроремонт,2
Тверской, Новослободская ул.,Новослободская,1,3,73.4,58.0,42000000,1910,Кирпичный,5,5,10.0,1,Дизайнерский,2
Раменки, ул. Лобачевского,Аминьевская,8,3,85.0,48.2,43500000,2022,-,18,40,21.0,2,Дизайнерский,3
Арбат, ул. Большая Молчановка,Арбатская,10,2,80.0,53.0,44000000,1928,Кирпичный,4,5,7.0,1,Евроремонт,1
Ростокино, просп. Мира,Улица Сергея Эйзенштейна,16,3,129.0,65.0,44900000,2014,Монолитный,37,58,40.0,2,Дизайнерский,1
Тверской, Садовая-Триумфальная ул.,Маяковская,6,3,80.0,49.2,45000000,1884,Кирпичный,5,5,11.2,1,Дизайнерский,1
Хамовники, ул. Хамовнический Вал,Ленинский проспект,15,3,86.0,65.0,46500000,1956,Кирпичный,4,11,12.0,1,Евроремонт,5
Дорогомилово, Большая Дорогомиловская ул.,Киевская,3,2,67.0,50.0,48000000,1955,-,7,14,10.0,1,Евроремонт,7
