Район,Улица,Станция метро,"Время до метро, мин.",Количество комнат,"Общая площадь, м.кв.","Жилая площадь, м.кв.",Цена,Год постройки,Тип дома,Этаж,Количество этажей в доме,"Площадь кухни, м.кв.",Количество санузлов,Тип ремонта,Количество подъездов в доме
Хорошево-Мневники, Причальный проезд,Шелепиха,8,1,35.0,24,19000000.0,2003,Монолитный,3,32,10,1,Без ремонта,3
Хамовники, Гагаринский пер.,Кропоткинская,9,3,170.0,24,250000000.0,1901,Кирпичный,4,6,15,3,Дизайнерский,1
Басманный, Спартаковский пер.,Бауманская,8,3,68.5,39,22990000.0,1914,,4,6,9,1,Косметический,3
Хамовники, пер. Хилков,Парк Культуры,5,3,118.7,24,214999900.0,2008,Монолитный,2,6,10,2,Дизайнерский,2
Якиманка, ул. Большая Полянка,Полянка,7,3,160.0,24,183000000.0,2003,Монолитно-кирпичный,5,7,25,3,Без ремонта,3
Ломоносовский, Ленинский просп.,Университет,17,2,60.3,36,31000000.0,1958,Кирпичный,4,8,6,1,Дизайнерский,6
Восточное, Дубнинская ул.,Яхромская,18,1,38.0,20,10900000.0,1978,Панельный,6,16,10,1,Косметический,1
Ростокино, просп. Мира,Ростокино,10,3,167.0,104,59990000.0,2015,Монолитный,12,59,46,1,Дизайнерский,1
Хорошево-Мневники, Шелепихинская наб.,Шелепиха,12,3,115.0,68,35500000.0,2003,Монолитно-кирпичный,1,19,10,2,Косметический,3
Южнопортовый, Южнопортовая ул.,Кожуховская,1,3,98.4,58,25800000.0,1951,Кирпичный,2,5,12,2,Без ремонта,8
Пресненский, Большой Палашевский пер.,Пушкинская,7,2,76.1,24,70000000.0,1972,Кирпичный,5,12,10,1,Дизайнерский,1
Тверской, Благовещенский пер.,Маяковская,2,3,68.8,38,78450000.0,1902,Кирпичный,8,8,6,2,Дизайнерский,2
Дорогомилово, Кутузовский просп.,Москва-Сити,15,3,105.0,84,143500000.0,2020,Монолитный,10,11,10,1,Евроремонт,3
Раменки, просп. Генерала Дорохова,Минская,5,2,44.0,22,33499000.0,2003,Монолитный,10,14,8,1,Евроремонт,3
Северное, ул. Грина,Бульвар Дмитрия Донского,9,1,38.0,19,10000000.0,1992,Панельный,8,17,8,1,Косметический,3
Пресненский, Богословский пер.,Пушкинская,6,3,132.6,90,348930820.0,2011,Кирпичный,2,8,15,2,Дизайнерский,4
Хамовники, ул. Усачева,Спортивная,7,3,136.9,24,209000000.0,2003,,5,12,10,3,Без ремонта,3
Бескудниковский, Селигерская ул.,Селигерская,3,2,38.4,24,10150000.0,1969,,1,14,6,1,Косметический,1
Басманный, Потаповский пер.,Чистые пруды,6,3,130.0,24,215000000.0,2023,,4,4,20,1,Без ремонта,3
Мещанский, ул. Гиляровского,Проспект Мира,8,3,47.0,30,18500000.0,1917,Кирпичный,5,6,8,1,Косметический,2
Сокол, ул. Алабяна,Сокол,10,2,61.4,24,28000000.0,2007,Кирпичный,6,24,10,1,Дизайнерский,3
Таганский, Волгоградский просп.,Волгоградский проспект,6,2,58.9,33,20000000.0,1958,Кирпичный,9,10,9,1,Без ремонта,6
Бибирево, Белозерская ул.,Бибирево,5,1,37.5,19,10300000.0,1979,,13,16,8,1,Евроремонт,1
Раменки, Мичуринский просп.,Ломоносовский проспект,10,2,53.0,32,26900000.0,2006,Монолитно-кирпичный,9,23,10,1,Дизайнерский,1
Новокосино, Суздальская ул.,Новокосино,15,3,71.0,43,16900000.0,1996,Монолитный,9,17,10,1,Косметический,7
Нагатинский, Коломенская ул.,Кленовый бульвар,9,2,52.0,30,16400000.0,1981,Панельный,11,12,9,1,Косметический,6
Тверской, Воротниковский пер.,Маяковская,5,3,87.1,24,49500000.0,1932,,2,4,7,1,Косметический,3
Преображенское, 2-я Пугачевская ул.,Преображенская площадь,13,1,35.2,20,10500000.0,1968,Панельный,6,12,10,1,Косметический,2
Академический, Профсоюзная ул.,Профсоюзная,3,2,54.5,33,20000000.0,1957,Кирпичный,5,8,9,1,Косметический,5
Якиманка, Ленинский просп.,Октябрьская,4,3,60.5,24,23700000.0,1966,Панельный,6,10,10,1,Без ремонта,8
Аэропорт, Балтийская ул.,Сокол,10,2,41.0,25,12300000.0,1961,Кирпичный,1,5,6,1,Косметический,4
Левобережный, Валдайский проезд,Беломорская,9,1,46.3,21,15500000.0,2008,Монолитный,25,25,10,1,Евроремонт,4
Северное, ул. Героев Панфиловцев,Сходненская,8,3,75.5,46,21500000.0,2006,Панельный,3,22,10,1,Косметический,1
Хамовники, Сеченовский пер.,Парк Культуры,6,3,163.0,24,218000000.0,2000,,3,7,10,3,Дизайнерский,1
Аэропорт, Новый Зыковский проезд,Петровский Парк,13,2,41.0,26,11990000.0,1961,Кирпичный,1,5,6,1,Без ремонта,4
Щукино, Авиационная ул.,Щукинская,12,3,120.0,24,54450000.0,2003,Кирпичный,17,48,10,2,Евроремонт,1
Очаково-Матвеевское, ул. Малая Очаковская,Озёрная,11,1,42.0,18,15450000.0,2003,Монолитно-кирпичный,18,21,15,1,Косметический,3
Нижегородский, ул. Нижняя Хохловка,Нижегородская,16,1,43.5,26,14100000.0,2022,,11,24,10,1,Евроремонт,9
Новогиреево, Мартеновская ул.,Новогиреево,10,2,46.7,32,12190000.0,1958,Кирпичный,3,5,6,1,Евроремонт,3
Аэропорт, Кочновский проезд,Аэропорт,15,3,120.0,80,45900000.0,2008,Монолитный,10,34,15,2,Евроремонт,9
Марьина, 1-я Ямская ул.,Марьина Роща,5,3,123.0,78,99000000.0,2021,,1,3,18,2,Дизайнерский,6
Кунцево, Молодогвардейская ул.,Кунцевская,7,3,96.9,24,41000000.0,2001,Кирпичный,16,22,10,2,Дизайнерский,1
Северное, ул. Вилиса Лациса,Планерная,9,1,35.0,20,10490000.0,1974,Панельный,8,9,6,1,Косметический,4
поселок, ул. Лазурная,Коммунарка,19,2,61.0,34,14500000.0,2012,Кирпичный,11,17,13,1,Евроремонт,3
Очаково-Матвеевское, Большая Очаковская ул.,Аминьевская,10,3,77.4,44,22900000.0,2012,Панельный,21,25,10,1,Евроремонт,6
Тверской, 1-я Тверская-Ямская ул.,Маяковская,4,3,78.1,50,68867925.0,1952,,5,6,6,2,Евроремонт,1
Пресненский, Зоологическая ул.,Баррикадная,12,3,121.1,24,84770000.0,2000,Монолитно-кирпичный,4,15,10,2,Дизайнерский,1
